Date,Close,Open,High,Low,Volume BTC
05/12/18,8472.8,8435.9,8646,8187,3040
05/13/18,8659.2,8476.4,8743,8324.1,1440
05/14/18,8617,8693.8,8880,8267.9,2160
05/15/18,8425,8695,8846,8395.4,1820
05/16/18,8320,8482.7,8484.4,8095,2000
05/17/18,8014.9,8320,8470,7971.2,1570
05/18/18,8187.4,8040.1,8280,7917,1540
05/19/18,8225,8187.4,8380,8130,1130
05/20/18,8521,8181.7,8620,8150.1,1160
05/21/18,8370.3,8496.2,8586,8317,1060
05/22/18,7977.1,8395.5,8400.9,7961,1250
05/23/18,7502,7978,8025,7446,2990
05/24/18,7588,7511.2,7746.1,7275,1970
05/25/18,7471.9,7588,7647.8,7350.1,1180
05/26/18,7330,7471.9,7604,7300,860
05/27/18,7358.3,7340,7385,7224,600
05/28/18,7083,7375.3,7415.9,7066,1360
05/29/18,7430,7082,7539.2,7052,1560
05/30/18,7417,7450,7568,7255,1060
05/31/18,7500,7417,7619,7318,1080
06/01/18,7530,7492,7614.3,7365,820
06/02/18,7650,7534,7703.9,7450,740
06/03/18,7700,7674,7770,7585,630
06/04/18,7509,7692.3,7750,7448.9,1150
06/05/18,7612,7506.3,7657,7348.3,1080
06/06/18,7647.9,7612,7686,7455.7,720
06/07/18,7679.4,7648,7760.6,7624.8,540
06/08/18,7636,7677.8,7719.5,7535,610
06/09/18,7512.4,7624.5,7691.8,7472,310
06/10/18,6761,7515,7515,6634,2810
06/11/18,6880,6763.8,6901.7,6616,1070
06/12/18,6540.7,6877.3,6885,6450,1370
06/13/18,6294.9,6541.7,6600,6140,2270
06/14/18,6626,6294,6700,6250.7,1770
06/15/18,6391.3,6658.6,6660,6360,830
06/16/18,6490,6380,6537.8,6308.3,650
06/17/18,6417,6490,6570.8,6414.4,530
06/18/18,6693,6417,6790,6376.6,1040
06/19/18,6732.9,6693,6840,6647.6,850
06/20/18,6765.2,6734.7,6804.2,6540,1660
06/21/18,6701,6765.4,6798.8,6676,640
06/22/18,6049,6723.3,6730,5927,2510
06/23/18,6185.8,6060,6240,6010,880
